year,state,n,percent
2017,MI,307,0.000363735766794332
2018,MI,46627,0.0552439986915939
2022,RI,26959,0.0319412134755974
2022,WV,70286,0.0832753488759167
2023,WV,78972,0.0935665829813745
2019,CT,134839,0.159758198888537
2020,NJ,137550,0.162970210822672
2024,WV,24395,0.0289033681789828
2017,AK,156,0.000184829901042071
2018,AK,16125,0.0191050138096371
2019,ME,60142,0.0712566660799502
2020,ME,19002,0.0225137037153938
2021,ME,27069,0.0320715422519732
2023,HI,59735,0.0707744496073597
2020,MT,23004,0.0272553015613577
2021,MT,27791,0.0329269729478218
2017,NM,281,0.00033293078328732
2018,NM,51995,0.0616040429787339
2020,ND,9313,0.0110341081308
2021,ND,16991,0.0201310567218322
2022,ND,19284,0.0228478193057391
2017,CT,180,0.000213265270433159
2018,CT,25610,0.0303429087544067
2017,ME,69,8.17516869993776e-05
2018,ME,10682,0.01265610899315
2017,NV,935,0.00110779459919446
2017,CO,879,0.00104144540394859
2017,Washougal,4,4.73922823184797e-06
2018,Washougal,839,0.000994053121630113
2019,Washougal,44,5.21315105503277e-05
2022,Irvine,5773,0.00683989114561459
2024,IA,39599,0.046917174688237
2020,PR,57119,0.0676749943437311
2021,PR,52785,0.0625400405545238
2021,AK,18403,0.0218040042876746
2022,AK,20506,0.0242956535305686
2018,ID,21715,0.0257280852636447
2022,PR,70407,0.0834187105299301
2024,WY,7507,0.00889434658412069
2018,MT,11522,0.0136513469218381
2019,MT,55470,0.0657212475051518
2017,AL,903,0.00106988077333968
2021,CT,64979,0.0769875778193124
2022,VT,6628,0.00785290118017209
2023,VT,7648,0.00906140437929333
2019,AK,39674,0.0470060352175841
2024,PR,31962,0.0378688031865812
2024,Prescott,1323,0.00156749973768372
2021,ID,51264,0.0607379490193636
2022,ID,60147,0.07126259011524
2020,AK,14392,0.017051743178189
2020,CT,52120,0.0617521438609791
2022,DE,25700,0.0304495413896232
2023,DE,29407,0.0348416211534883
2023,AK,23473,0.0278109760715419
2017,SC,792,0.000938367189905899
2020,SD,23986,0.0284187820922764
2021,SD,33673,0.0398960080627542
2022,SD,37707,0.0446755197345729
2017,ND,25,2.96201764490498e-05
2018,ND,7569,0.00896780462171433
2019,ND,25072,0.0297054825572231
